Unicode	NGram	ID
'g l'	2	668
'o k'	2	669
's r'	2	670
'G r'	2	671
'/ t'	2	672
'. 2'	2	673
'n ('	2	674
's ('	2	675
'w h'	2	676
'b s'	2	677
't ='	2	678
'y >'	2	679
'_ d'	2	680
'- 0'	2	681
'g o'	2	682
"' )"	2	683
'r l'	2	684
'  +'	2	685
'  U'	2	686
'D a'	2	687
'd -'	2	688
'D  '	2	689
'|  '	2	690
'T _'	2	691
'/ l'	2	692
'r -'	2	693
't )'	2	694
'M o'	2	695
'" s'	2	696
'd t'	2	697
'V e'	2	698
'. m'	2	699
'_ a'	2	700
'( s'	2	701
'0 4'	2	702
't ;'	2	703
'. 5'	2	704
'a k'	2	705
'n l'	2	706
'  4'	2	707
'  _'	2	708
'n v'	2	709
'C l'	2	710
'M E'	2	711
's )'	2	712
'L o'	2	713
'U T'	2	714
'M A'	2	715
'}  '	2	716
'l _'	2	717
'( c'	2	718
') .'	2	719
'k i'	2	720
"( '"	2	721
'W i'	2	722
'" "'	2	723
'n >'	2	724
'p x'	2	725
'2 1'	2	726
'r \n'	2	727
'N o'	2	728
'E C'	2	729
'_ S'	2	730
'l f'	2	731
'H E'	2	732
'E n'	2	733
'  V'	2	734
'g /'	2	735
'5 0'	2	736
'd ='	2	737
'  )'	2	738
'n ='	2	739
'm u'	2	740
'A S'	2	741
'D I'	2	742
'3  '	2	743
'  &'	2	744
'T r'	2	745
'1 8'	2	746
'N D'	2	747
'R A'	2	748
'I C'	2	749
'. 3'	2	750
'. g'	2	751
's y'	2	752
'L a'	2	753
'0 3'	2	754
'M e'	2	755
'" 1'	2	756
'0 )'	2	757
'l "'	2	758
'/ i'	2	759
'] ,'	2	760
'_ f'	2	761
'Y  '	2	762
'r "'	2	763
'\t  '	2	764
'5 ,'	2	765
'5  '	2	766
'd ('	2	767
'I S'	2	768
'I O'	2	769
'. i'	2	770
'] \n'	2	771
'x s'	2	772
'/ w'	2	773
'@ @'	2	774
'< p'	2	775
'k a'	2	776
'C E'	2	777
'L A'	2	778
'p >'	2	779
'm _'	2	780
'; ;'	2	781
'n y'	2	782
'} ,'	2	783
'P l'	2	784
'_ m'	2	785
'i x'	2	786
'r )'	2	787
'2 2'	2	788
'w .'	2	789
'S S'	2	790
'_ r'	2	791
'  H'	2	792
'm /'	2	793
'a x'	2	794
'N U'	2	795
'. d'	2	796
'  k'	2	797
'4 .'	2	798
'y l'	2	799
'C T'	2	800
'V a'	2	801
'\n "'	2	802
'C h'	2	803
'8 0'	2	804
'3 ,'	2	805
'( t'	2	806
'T Y'	2	807
'- 2'	2	808
'- t'	2	809
'r >'	2	810
'2 3'	2	811
'" h'	2	812
'_ C'	2	813
'+  '	2	814
'I L'	2	815
'e C'	2	816
'~'	1	817
'1 7'	2	818
'\t }'	2	819
'F r'	2	820
'2 4'	2	821
'h "'	2	822
'g a'	2	823
'R O'	2	824
'T a'	2	825
'_ l'	2	826
'r ,'	2	827
's k'	2	828
'1 \n'	2	829
'0 ;'	2	830
'3 3'	2	831
'A M'	2	832
'F I'	2	833
'g >'	2	834
'0 5'	2	835
'y .'	2	836
'k s'	2	837
'. l'	2	838
'A n'	2	839
'N E'	2	840
'(  '	2	841
'0 6'	2	842
'v  '	2	843
'- r'	2	844
'L L'	2	845
'A c'	2	846
'n ,'	2	847
'- b'	2	848
'C H'	2	849
'  5'	2	850
'n p'	2	851
'2 8'	2	852
'0 8'	2	853
'P A'	2	854
'E D'	2	855
'i  '	2	856
'V i'	2	857
'6 0'	2	858
'P o'	2	859
'6  '	2	860
'C a'	2	861
'4 ,'	2	862
'o x'	2	863
'x m'	2	864
'A G'	2	865
'T R'	2	866
'. 4'	2	867
'( i'	2	868
'S I'	2	869
'R I'	2	870
'R T'	2	871
'\n s'	2	872
'd >'	2	873
'a .'	2	874
'y ='	2	875
'A B'	2	876
'l :'	2	877
'0 9'	2	878
'l -'	2	879
'w s'	2	880
'O p'	2	881
'1 "'	2	882
'. f'	2	883
'E T'	2	884
'. e'	2	885
'n )'	2	886
'3 1'	2	887
'p _'	2	888
'I D'	2	889
'. 6'	2	890
'U L'	2	891
'. 9'	2	892
'A r'	2	893
'h >'	2	894
'e <'	2	895
'^'	1	896
'&  '	2	897
'" ;'	2	898
'I d'	2	899
'_ D'	2	900
'L  '	2	901
'5 5'	2	902
'y :'	2	903
'_ n'	2	904
'- m'	2	905
'4 4'	2	906
'0 7'	2	907
'p .'	2	908
'\n {'	2	909
'/ b'	2	910
'B A'	2	911
'< d'	2	912
'} ;'	2	913
'\n *'	2	914
'2 6'	2	915
'l \n'	2	916
'x i'	2	917
'_ e'	2	918
'4 1'	2	919
'2 7'	2	920
'w n'	2	921
'T O'	2	922
'I t'	2	923
'I m'	2	924
'S c'	2	925
't C'	2	926
'G E'	2	927
'< t'	2	928
'\t r'	2	929
'j s'	2	930
'e o'	2	931
'; \r'	2	932
'/ m'	2	933
'd ,'	2	934
'N O'	2	935
'y r'	2	936
'8  '	2	937
'S y'	2	938
'e S'	2	939
'e T'	2	940
'b  '	2	941
'r /'	2	942
'\n .'	2	943
'x e'	2	944
'_ b'	2	945
'2 9'	2	946
'( $'	2	947
'4 2'	2	948
'N  '	2	949
'\t i'	2	950
'- p'	2	951
'B o'	2	952
'- f'	2	953
'y t'	2	954
'j a'	2	955
'  !'	2	956
'l p'	2	957
'U R'	2	958
'\n c'	2	959
'$ {'	2	960
'_ P'	2	961
'B a'	2	962
'5 1'	2	963
'd /'	2	964
'- l'	2	965
'. 7'	2	966
'r f'	2	967
'8 6'	2	968
'A l'	2	969
'l ,'	2	970
'S i'	2	971
'3 4'	2	972
'1 )'	2	973
', 2'	2	974
'4 3'	2	975
'4 5'	2	976
'w r'	2	977
"e '"	2	978
'3 5'	2	979
'. u'	2	980
'O S'	2	981
'O F'	2	982
'5 6'	2	983
't S'	2	984
't T'	2	985
'A  '	2	986
'- a'	2	987
'. r'	2	988
'5 .'	2	989
'A p'	2	990
'3 6'	2	991
'W A'	2	992
'c _'	2	993
'2 \n'	2	994
'U n'	2	995
'+ +'	2	996
'N G'	2	997
'g g'	2	998
'y e'	2	999
'x c'	2	1000
'O U'	2	1001
'm y'	2	1002
', C'	2	1003
'%  '	2	1004
's >'	2	1005
't P'	2	1006
'- d'	2	1007
'4 8'	2	1008
'D A'	2	1009
'\t c'	2	1010
'9 0'	2	1011
'6 6'	2	1012
'y ('	2	1013
'y _'	2	1014
'P U'	2	1015
'U s'	2	1016
'\t /'	2	1017
'c .'	2	1018
'6 ,'	2	1019
'. 8'	2	1020
'. C'	2	1021
'" a'	2	1022
'/ o'	2	1023
'P R'	2	1024
'V E'	2	1025
': s'	2	1026
'f .'	2	1027
'3 8'	2	1028
'( a'	2	1029
'/ .'	2	1030
'O T'	2	1031
'\\ u'	2	1032
'  `'	2	1033
'o .'	2	1034
'H A'	2	1035
'\n \r'	2	1036
'n /'	2	1037
'7 3'	2	1038
'P u'	2	1039
'g _'	2	1040
'F  '	2	1041
'd )'	2	1042
'- i'	2	1043
'_ o'	2	1044
's w'	2	1045
'l ('	2	1046
'A ,'	2	1047
'3 7'	2	1048
'. b'	2	1049
'8 ,'	2	1050
'p d'	2	1051
'7 0'	2	1052
'x ;'	2	1053
'7 5'	2	1054
'" f'	2	1055
'A D'	2	1056
'" m'	2	1057
'( C'	2	1058
'd y'	2	1059
'" $'	2	1060
'6 .'	2	1061
'. n'	2	1062
's m'	2	1063
'P E'	2	1064
'd b'	2	1065
'6 2'	2	1066
'H O'	2	1067
'f ='	2	1068
'y \n'	2	1069
'3 9'	2	1070
'  j'	2	1071
'" .'	2	1072
'I A'	2	1073
'f s'	2	1074
'9 6'	2	1075
's d'	2	1076
'A d'	2	1077
'N e'	2	1078
"' \n"	2	1079
'C ,'	2	1080
'O b'	2	1081
'M i'	2	1082
'E X'	2	1083
'4 6'	2	1084
'U S'	2	1085
'5 2'	2	1086
'_ A'	2	1087
'_ I'	2	1088
'R R'	2	1089
'H e'	2	1090
'g t'	2	1091
'- 4'	2	1092
'I R'	2	1093
'" p'	2	1094
'  6'	2	1095
'A s'	2	1096
'l ='	2	1097
'  >'	2	1098
'D o'	2	1099
'L e'	2	1100
'\n ;'	2	1101
'S _'	2	1102
'9 8'	2	1103
'g "'	2	1104
'P O'	2	1105
'\t s'	2	1106
'% %'	2	1107
'\n e'	2	1108
'4 7'	2	1109
'7 ,'	2	1110
'- 8'	2	1111
'e I'	2	1112
': "'	2	1113
'I B'	2	1114
'8 8'	2	1115
'T i'	2	1116
'U I'	2	1117
'6 3'	2	1118
'< a'	2	1119
'5 3'	2	1120
'O M'	2	1121
'/ P'	2	1122
'# \n'	2	1123
'/ g'	2	1124
'S u'	2	1125
'G N'	2	1126
'C L'	2	1127
'9 2'	2	1128
'7 7'	2	1129
'( 1'	2	1130
'7  '	2	1131
'6 8'	2	1132
'9 1'	2	1133
'e R'	2	1134
'F O'	2	1135
'_ T'	2	1136
'7 .'	2	1137
'5 9'	2	1138
'f ('	2	1139
'( d'	2	1140
'< l'	2	1141
'6 5'	2	1142
'a w'	2	1143
'" C'	2	1144
'6 7'	2	1145
'- \n'	2	1146
'5 7'	2	1147
'<  '	2	1148
'" i'	2	1149
'" S'	2	1150
'5 4'	2	1151
'7 8'	2	1152
'9 5'	2	1153
'd g'	2	1154
'8 7'	2	1155
'u f'	2	1156
'4 9'	2	1157
'h :'	2	1158
'. j'	2	1159
'I M'	2	1160
'7 6'	2	1161
'5 8'	2	1162
'9 7'	2	1163
'I E'	2	1164
'/ u'	2	1165
'9 ,'	2	1166
'7 2'	2	1167
'c /'	2	1168
'9  '	2	1169
'8 1'	2	1170
'9 4'	2	1171
'6 1'	2	1172
'_ M'	2	1173
